id,prd,prc,bgn,min,max,cnt,cum,code,traded_at,created_at,updated_at
747551,1,1800,1795,1795,1800,17,22012,001020,"2021-10-12 09:41:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747550,1,1800,1800,1800,1800,0,22012,001020,"2021-10-12 09:42:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747549,1,1800,1800,1800,1800,487,22499,001020,"2021-10-12 09:43:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747548,1,1805,1790,1790,1805,221,22720,001020,"2021-10-12 09:44:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747547,1,1805,1805,1805,1805,0,22720,001020,"2021-10-12 09:45:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747546,1,1805,1805,1805,1805,0,22720,001020,"2021-10-12 09:46:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747545,1,1810,1805,1805,1810,16,22736,001020,"2021-10-12 09:47:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747544,1,1810,1810,1810,1810,0,22736,001020,"2021-10-12 09:48:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747543,1,1810,1805,1805,1810,300,23036,001020,"2021-10-12 09:49:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747542,1,1810,1810,1810,1810,0,23036,001020,"2021-10-12 09:50:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747541,1,1810,1810,1810,1810,0,23036,001020,"2021-10-12 09:51:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747540,1,1810,1810,1810,1810,0,23036,001020,"2021-10-12 09:52:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747539,1,1810,1810,1810,1810,0,23036,001020,"2021-10-12 09:53:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747538,1,1810,1810,1810,1810,0,23036,001020,"2021-10-12 09:54:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747537,1,1810,1810,1790,1810,65,23101,001020,"2021-10-12 09:55:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747536,1,1810,1810,1810,1810,0,23101,001020,"2021-10-12 09:56:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747535,1,1810,1810,1810,1810,0,23101,001020,"2021-10-12 09:57:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747534,1,1810,1790,1790,1810,16,23117,001020,"2021-10-12 09:58:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747533,1,1810,1810,1810,1810,0,23117,001020,"2021-10-12 09:59:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747532,1,1810,1810,1810,1810,0,23117,001020,"2021-10-12 10:00:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747531,1,1810,1810,1810,1810,0,23117,001020,"2021-10-12 10:01:00","2022-11-10 04:59:56","2022-11-10 04:59:56"
747530,1,1810,1810,1810,1810,0,23117,001020,"2021-10-12 10:02:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747529,1,1800,1800,1800,1800,100,23217,001020,"2021-10-12 10:03:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747528,1,1795,1795,1795,1795,10,23227,001020,"2021-10-12 10:04:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747527,1,1785,1790,1785,1790,100,23327,001020,"2021-10-12 10:05:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747526,1,1785,1785,1785,1785,1,23328,001020,"2021-10-12 10:06:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747525,1,1795,1795,1795,1795,239,23567,001020,"2021-10-12 10:07:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747524,1,1795,1795,1795,1795,0,23567,001020,"2021-10-12 10:08:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747523,1,1795,1795,1795,1795,0,23567,001020,"2021-10-12 10:09:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747522,1,1800,1785,1785,1800,5,23572,001020,"2021-10-12 10:10:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747521,1,1800,1800,1800,1800,0,23572,001020,"2021-10-12 10:11:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747520,1,1800,1800,1800,1800,18,23590,001020,"2021-10-12 10:12:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747519,1,1810,1810,1810,1810,18,23608,001020,"2021-10-12 10:13:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747518,1,1810,1810,1810,1810,0,23608,001020,"2021-10-12 10:14:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747517,1,1810,1810,1810,1810,0,23608,001020,"2021-10-12 10:15:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747516,1,1815,1810,1810,1815,821,24429,001020,"2021-10-12 10:16:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747515,1,1800,1800,1800,1800,2,24431,001020,"2021-10-12 10:17:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747514,1,1800,1800,1800,1800,0,24431,001020,"2021-10-12 10:18:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747513,1,1810,1800,1800,1810,4,24435,001020,"2021-10-12 10:19:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747512,1,1810,1810,1810,1810,0,24435,001020,"2021-10-12 10:20:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747511,1,1815,1810,1810,1815,20,24455,001020,"2021-10-12 10:21:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747510,1,1815,1815,1815,1815,1,24456,001020,"2021-10-12 10:22:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
